"head","relation","tail"
"drugbank.DB00503","target","uniprot.Q86VL8"
"mondo.0013179","associated","uniprot.Q5T442"
"drugbank.DB00370","target","uniprot.P34969"
"mondo.0019338","symptom","hpo.0001386"
"mondo.0019201","associated","uniprot.B7U540"
"mondo.0012885","symptom","hpo.0000962"
"mondo.0009162","symptom","hpo.0002488"
"mondo.0010926","symptom","hpo.0004398"
"mondo.0014313","associated","uniprot.P08637"
"drugbank.DB00590","SE","meddra.10029446"
"mondo.0014764","symptom","hpo.0002317"
"drugbank.DB01149","SE","meddra.10029446"
"mondo.0017264","symptom","hpo.0000962"
"drugbank.DB00864","SE","meddra.10010071"
"mondo.0005029","associated","uniprot.O60674"
"mondo.0007758","associated","uniprot.P08779"
"mondo.0010179","symptom","hpo.0001708"
"drugbank.DB00975","target","uniprot.Q13370"
"drugbank.DB08865","target","uniprot.P51617"
"mondo.0010702","associated","uniprot.O75665"
"mondo.0013863","symptom","hpo.0005523"
"drugbank.DB00480","SE","meddra.10009887"
"drugbank.DB00734","SE","meddra.10020870"
"drugbank.DB09276","SE","meddra.10037032"
"drugbank.DB06616","target","uniprot.Q8WTQ7"
"drugbank.DB00472","SE","meddra.10043563"
"drugbank.DB06202","SE","meddra.10038923"
"mondo.0016471","associated","uniprot.Q04695"
"drugbank.DB00740","SE","meddra.10011703"
"mondo.0018874","associated","uniprot.O75874"
"drugbank.DB01189","target","uniprot.P18507"
"drugbank.DB01189","SE","meddra.10007515"
"drugbank.DB00588","SE","meddra.10020200"
"mondo.0009294","symptom","hpo.0000093"
"drugbank.DB01129","SE","meddra.10013864"
"mondo.0015012","associated","uniprot.Q96AX1"
"drugbank.DB01175","SE","meddra.10046593"
"drugbank.DB01050","SE","meddra.10020680"
"drugbank.DB00624","SE","meddra.10030300"
"mondo.0010024","symptom","hpo.0100750"
"mondo.0018092","associated","uniprot.P25445"
"mondo.0014379","symptom","hpo.0001007"
"drugbank.DB01149","SE","meddra.10019692"
"drugbank.DB04868","SE","meddra.10020907"
"mondo.0007451","symptom","hpo.0009806"
"mondo.0010578","associated","uniprot.O60220"
"mondo.0008918","symptom","hpo.0001678"
"drugbank.DB01156","SE","meddra.10014080"
"drugbank.DB00928","SE","meddra.10003598"
"drugbank.DB00338","SE","meddra.10072014"
"mondo.0016830","associated","uniprot.Q8WXH0"
"drugbank.DB01009","SE","meddra.10034721"
"mondo.0014149","symptom","hpo.0100309"
"mondo.0012177","symptom","hpo.0000618"
"mondo.0009290","symptom","hpo.0002202"
"drugbank.DB06616","target","uniprot.O14730"
"drugbank.DB00962","SE","meddra.10018491"
"mondo.0013761","symptom","hpo.0000602"
"mondo.0014513","symptom","hpo.0010628"
"drugbank.DB01167","SE","meddra.10021028"
"mondo.0013624","associated","uniprot.Q9UKM7"
"drugbank.DB01394","SE","meddra.10023681"
"drugbank.DB04920","target","uniprot.Q13936"
"mondo.0016333","symptom","hpo.0004308"
"drugbank.DB01224","SE","meddra.10041894"
"mondo.0010317","associated","uniprot.Q96QS3"
"drugbank.DB00688","SE","meddra.10000486"
"drugbank.DB01254","target","uniprot.P27037"
"mondo.0008965","symptom","hpo.0000717"
"mondo.0009458","symptom","hpo.0000100"
"drugbank.DB00918","target","uniprot.P28222"
"mondo.0010645","symptom","hpo.0002381"
"mondo.0013797","associated","uniprot.P48742"
"mondo.0013171","symptom","hpo.0002664"
"mondo.0013689","associated","uniprot.Q9P2W1"
"mondo.0019200","associated","uniprot.Q96HR9"
"mondo.0014066","symptom","hpo.0001987"
"mondo.0016596","symptom","hpo.0002558"
"mondo.0008783","symptom","hpo.0008404"
"mondo.0018820","symptom","hpo.0002913"
"drugbank.DB00962","SE","meddra.10049195"
"drugbank.DB00755","SE","meddra.10039729"
"mondo.0010035","symptom","hpo.0000104"
"drugbank.DB00273","SE","meddra.10028521"
"drugbank.DB00285","SE","meddra.10043778"
"mondo.0013815","associated","uniprot.P21802"
"drugbank.DB01268","target","uniprot.Q14289"
"drugbank.DB01590","SE","meddra.10035598"
"mondo.0012320","associated","uniprot.P35498"
"mondo.0011989","symptom","hpo.0003073"
"mondo.0008487","associated","uniprot.Q5T089"
"drugbank.DB00268","SE","meddra.10045242"
"drugbank.DB08916","target","uniprot.Q52WX2"
"drugbank.DB01006","SE","meddra.10043566"
"mondo.0005820","symptom","hpo.0100520"
"drugbank.DB13139","SE","meddra.10027417"
"mondo.0009662","symptom","hpo.0001004"
"mondo.0009292","symptom","hpo.0001433"
"mondo.0009723","associated","uniprot.P31040"
"drugbank.DB00846","SE","meddra.10057065"
"drugbank.DB00864","SE","meddra.10025310"
"drugbank.DB00571","target","uniprot.P07550"
"mondo.0008487","associated","uniprot.Q7Z6I6"
"mondo.0011638","associated","uniprot.P02792"
"drugbank.DB00248","SE","meddra.10034474"
"drugbank.DB00396","target","uniprot.Q9UL62"
"mondo.0011339","symptom","hpo.0000012"
"drugbank.DB00724","SE","meddra.10043778"
"drugbank.DB00997","target","uniprot.O14746"
"mondo.0008678","symptom","hpo.0001920"
"mondo.0011285","symptom","hpo.0000608"
"drugbank.DB00335","target","uniprot.P08588"
"mondo.0011719","associated","uniprot.Q9Y496"
"drugbank.DB00804","target","uniprot.P41595"
"mondo.0013060","symptom","hpo.0002063"
"mondo.0008294","symptom","hpo.0002354"
"drugbank.DB00285","SE","meddra.10030942"
"mondo.0008660","symptom","hpo.0002901"
